uuid	pred_text	text	cer
0002245f-8a8d-42b2-91a6-db80b491e358	天猫精灵鲫鱼豆腐汤来一份热乎的	天猫精灵鲫鱼豆腐汤来一份热乎的	0.0
0002a92c-8550-4313-b876-9caf8cf7cfb2	天猫精灵请播放我想出去走一走	天猫精灵请播放我想出去走一走	0.0
0003cf77-6b37-4fb6-82eb-219981002429	天猫精灵来一个大连续播放大笑的声音	天猫精灵来一个大连续播放大象的声音	0.0588
000555bb-2993-47bb-9b8e-d3bd18c5bc91	天猫精灵是谁让你三点半去唱歌的	天猫精灵是谁让你三点半你唱歌的	0.0667
0006161e-5f8f-40a8-8d1d-408173051916	天猫精灵你你会一千加五百加一百加一千万百	天猫精灵你你会一千加五百加一百加一	0.1765
000676b8-56bb-4bcf-b1db-6c5706817eb9	天猫精灵十二和十五的最大公因数	天猫精灵十二和十五的最大公因数	0.0
0007a969-e073-4689-a0e4-29bfaa4d9d7b	百四十二天猫精灵二百四十二除以七	天猫精灵二百四十二除以七百四十二	0.5
0007fea4-3f73-4a3d-90f9-91e9c1087871	天猫精灵四时田园杂兴共六十首描写了田园生活之乐是他四时田园诗代表作品分别为什么什么什么什么	天猫精灵四时田园杂兴共六十首描写了田园生活之乐是他四时田园时代表作品分别为什么	0.1795
0008156e-f77a-458d-a11b-fcd88cec88e4	天猫精灵来碗红枣燕麦养胃粥吧热乎的	天猫精灵来碗红枣燕麦养胃粥吧热乎的	0.0
00086819-e782-40b7-b0f1-224eb229279d	你不能退我要把还要打死你了	你不能对我要的还要打死你了	0.1538
00092a03-3d38-4192-bb62-83121857af02	天猫精灵放一个阳光总在放雨后	天猫精灵放一个阳光总在风雨后	0.0714
00096245-003c-4ad3-8576-02c9b3c44c5f	来碗鲜香菌菇汤吧	来碗鲜香菌菇汤吧	0.0
0009d1c2-b37b-49c6-bfd5-be97d1f05819	天猫精灵要那个鲜虾皮蛋瘦肉养生粥	天猫精灵要那个鲜虾皮蛋瘦肉养生粥	0.0
000c5a2b-a6ff-4d80-8c39-f68cc0ead7cd	天猫精灵要份家常土豆丝	天猫精灵要份家常土豆丝	0.0
000dd68d-e1c9-4da7-9ba0-bb7f88b332a4	要个青椒肉丝小炒吧	要个青椒肉丝小炒吧	0.0
000e8d94-15b6-40bd-99f3-c854233ce704	天猫精灵我想听周深的记忆商店	天猫精灵我想听周深的记忆商店	0.0
000f2252-30f5-4acb-86a5-efbcce97fcde	天猫精灵你爸爸的公司在哪里呀	天猫精灵你爸爸的公司在哪里呀	0.0
0011cb00-1bbf-45f8-9b78-34d397bed6da	来份养生菌菇乌骨汤吧	来份养生菌菇乌鸡汤吧	0.1
001239e5-1d44-4e36-911d-3844ffede109	天猫精灵来碗青瓜皮蛋汤热乎的	天猫精灵来碗青瓜皮蛋汤热乎的	0.0
001304de-5243-4825-93d6-d01742c5806b	天猫精灵请播袁国成的水泊梁山	天猫精灵请播袁阔成的水泊梁山	0.0714
00144984-f123-43e8-b09f-4c4e56cec3b6	天猫精灵来份冬瓜炖排骨吧	天猫精灵来份冬瓜炖排骨吧	0.0
0014d14f-12c1-48e2-8df1-0a4a29f10fc1	来份外婆小炒蛋吧	来份外婆小炒蛋吧	0.0
0015f942-f29c-4669-b064-15bee069a12e	我要唱魏佳艺的一生要走多少路	我要唱魏佳艺的一生要走多少路	0.0
0017dc11-0ef3-4327-9f57-2206e9828166	天猫精灵五十七加三十二等于几	天猫精灵五十七加三十二等于几	0.0
0018da23-2e98-4c3f-9096-4eb1997b02b4	天猫精灵一千五乘以十二等于多少	天猫精灵一千五乘以十二等于多少	0.0
0019731e-2981-4811-b344-0a7352ba14c9	我想看狐狸的夏天第二季	我想看狐狸的夏天第二季	0.0
001a0241-baed-4926-a7ad-6eaf36f90778	天猫精灵放一首旭日阳刚的老榆树	天猫精灵放一首旭日阳刚的老榆树	0.0
001b984a-b4b4-4804-96d2-01eb208c028c	天猫精灵江苏省南京市的电话区号是多少	天猫精灵江苏省南京市的电话区号是多少	0.0
001bc8a8-aa62-43e7-830d-49b206b63a11	天猫精灵我要听拉便便的声音	天猫精灵我要听拉便便的声音	0.0
001c1314-67fe-4413-baca-0d4b8c3db531	推荐点家常的	推荐点家常的	0.0
001d379a-189a-4a65-9004-618369909044	天猫精灵要那碗山药肉末的暖胃粥	天猫精灵要那个山药肉沫的暖胃粥	0.1333
001ea1d0-3c54-45e2-b0a3-a6ae85d54c97	天猫精灵真的真的不想变老	天猫精灵真的真的不需要电脑	0.3077
001fc5e5-4151-495a-bdfe-84829c24f4c9	天猫精灵来碗西红柿鸡蛋浇头饭	天猫精灵来碗西红柿鸡蛋浇头饭	0.0
0020dc53-2b17-42e6-8a0c-46136ac5e274	天猫精灵来碗红枣黑米粥热乎养胃的	天猫精灵来碗红枣黑米粥热乎养胃的	0.0
00216c96-0c52-4df3-a82c-2916d9205b44	天猫精灵要碗热乎的砂锅肉末粥	天猫精灵要碗热乎的砂锅乳鸽粥	0.1429
0021a4dd-164f-40ad-8c9f-f694858e086a	天猫精灵唱一首轻轻的爱上你	天猫精灵唱一首轻轻的爱上你	0.0
0022932b-c76f-4ba5-b666-d277e2734a31	天猫精灵来份番茄炒蛋饭吧	天猫精灵来份番茄炒蛋饭吧	0.0
00245b44-44e9-426c-aafa-7c8b786eb6f6	天猫精灵声音大一点打开汪汪队	天猫精灵声音大一点打开汪汪队	0.0
0025592e-e709-4234-8086-44d63c037547	天猫精灵来碗南瓜小米百合粥吧	天猫精灵来碗南瓜小米百合粥吧	0.0
00275cb7-6114-4fef-b7ba-37706ef9cf9e	天猫精灵十五减六除以三等于几	天猫精灵十五减六除以三等于几	0.0
00276174-f802-41ca-b9f2-dcea4a7623d8	天猫精灵快进到一分二十五秒	天猫精灵快进到一分二十五秒	0.0
002778b1-24b4-4ece-91dd-ecfbcb5c945b	天猫精灵你的眼睛里在你的小问去	天猫精灵你的眼睛里在你的脚里	0.2143
0029878b-71a4-4d7a-83dd-2d0b874b4c66	清炒苦瓜可以用来炒吗	清炒苦瓜可以用来炒吗	0.0
0029aeeb-9c02-4005-9ea2-4d96e99d81ff	天猫精灵播放闹闹别闹脑筋急转弯第一集第一季	天猫精灵播放闹闹别闹脑筋急转弯第一集第一季	0.0
0029fa48-9ce8-4cc0-a979-2746730cc515	天猫精灵播放我在马路边捡到一分钱	天猫精灵播放我在马路边捡到一分钱	0.0
002aad5b-86b2-4c80-b819-eb3a0a06884b	我想听杜宣达的此生不换	我想听杜宣达的此生不换	0.0
002b28f0-78bc-4322-91c8-f816d4940a2c	来碗热乎的红糖小米粥	来碗热乎的红糖小米粥	0.0
002b6f78-827e-48f8-b047-cdf1e2415816	天猫精灵我想听泽塔奥特曼主题曲	天猫精灵我想听泽塔奥特曼主题曲	0.0
002c3a01-0d76-4269-bc07-3523dbb550a8	打开电视和电视盒子	打开电视和电视盒子	0.0
002c8ca1-d0f0-44fb-af2d-4b3d7d37d517	天猫精灵给我南方南方海的别离开出花	天猫精灵给我南方南方海的别离开出花	0.0
002e93de-c627-4962-954f-930360f4c85a	来碗香菇面筋汤面吧	来碗香菇面筋汤面吧	0.0
002ec7fb-1ba1-47a7-b027-fb56daf6ffeb	天猫精灵八十三减六十三等于几	天猫精灵八十三减六十三等于几	0.0
