item,cate_1_name,cate_2_name,cate_3_name
蜜汁鸡腿超级碗,色拉轻食,健康餐,
（招牌）香料烤鸡胸健康餐,色拉轻食,健康餐,
低卡鸡胸肉减脂沙拉,色拉轻食,健康餐,
果木烟熏鸡胸超级碗,色拉轻食,健康餐,
香煎鸡胸肉蔬果沙拉,色拉轻食,健康餐,
超嫩的黑椒鸡胸肉鲜果沙拉,色拉轻食,健康餐,
「椒香柠檬烤鸡腿套餐」- 热辣之舞,色拉轻食,健康餐,
三文鱼甜虾健康海鲜波奇饭超级碗,色拉轻食,健康餐,
真牛肉⭐黑椒牛肉鸡胸健康沙拉,色拉轻食,健康餐,
【新店特惠】香煎原切牛排（眼肉）菌烤碗,色拉轻食,健康餐,
鞭炮笋（极小概率会有打捞的渔网线，不是异物，介意慎拍）,色拉轻食,健康餐,
【镇店断货王】神仙爆款!藤椒鸡腿肉沙拉,色拉轻食,健康餐,
【自选】男孩女孩健康操八拼套餐（送沙拉+双主食）,色拉轻食,健康餐,
【招牌】鸡胸肉肉双拼餐（主食自选,色拉轻食,健康餐,
【拱墅‘彭于晏’推荐】墨西哥小辣鸡【自选&双主食】----,色拉轻食,健康餐,
干饭魂！Rib Finger牛肋盖杂粮饭（巴177厂）,色拉轻食,健康餐,
顶流爆款·SUPER香煎鸡胸沙拉（必点）,色拉轻食,健康餐,
【招牌】黑胡椒鸡胸肉沙拉Salad,色拉轻食,健康餐,
【DYI自选】超级拼多多三拼爆款套餐,色拉轻食,健康餐,
【招牌Top】牛肉+鸡肉双拼健康餐（主食自选）,色拉轻食,健康餐,
【豪华减脂队】烤鸡+牛排超级健身餐（热轻食）,色拉轻食,健康餐,
【减脂】鲜炒牛肉空心菜饭·诱人低脂工作餐,色拉轻食,健康餐,
豪华双拼⭐牛排➕鸡胸减脂健康餐（主食三选一）,色拉轻食,健康餐,
真·原切牛排鸡胸双拼牛人凯撒沙拉（主食三选一）,色拉轻食,健康餐,
进店必点｜香烤鸡腿谷物饭（多口味！超丰富！超有料！）,色拉轻食,健康餐,
【招牌】炙烤鸡排谷物餐,色拉轻食,健康餐,
（薄盐）炙烤银鲷鱼套餐,色拉轻食,健康餐,
海风三文鱼波奇饭,色拉轻食,健康餐,
〖肉够不孩子〗肉肉DIY#自选谷物碗套餐（送鸡肉丸）,色拉轻食,健康餐,
