uuid	text	dom
2028ce68-f4c4-47e7-b61c-263a4ba8a605	我想听红月的你的早安是我的晚安	0
c374f644-92fc-4aaa-a7bd-661f57c257e4	天猫精灵暂停五分钟之后再开始	0
6968138b-204e-4a12-9366-89f004aa4f56	天猫精灵要个家常花菜炒粥片吧	1
50005371-9bfd-45fc-9232-2fd269bc7b5f	来碗家常紫菜蛋花汤吧	1
03a15e19-9092-4671-b66c-12990f7af090	天猫精灵要碗红枣山药养胃粥吧	1
6dc1df30-6d8c-40a5-9be9-52f398623f07	天猫精灵鲜鱼豆腐汤来一份吧	1
38b8fafe-19f0-4003-ab7f-642f5a78a1dd	天猫精灵少油少盐的就行	1
0c91107f-a01e-42d0-aa8c-ed3f70ee60fd	我要唱张杰的看啊看	0
e54d8c37-1c8c-4b76-a7be-1e416e66280b	天猫精灵来碗萝卜面疙瘩热汤吧	1
4695c575-347a-4f1d-b9c0-5afba6ed6f6b	天猫精灵来份花生黑米养生粥热乎的	1
b5cfa0ea-b878-4562-9024-6092e7b7b587	天猫精灵来份蒜香油麦菜吧	1
e7c55ca9-8040-44a4-a8e1-ca516fa37d76	一点声音天猫精灵大一点声音	0
4cf1aac0-0703-49de-b931-8468592ee5ea	我要唱雪人的可能生活本该这样	0
eb59a9f4-604d-4823-b083-9e2b4feac4a9	天猫精灵来碗肉末豆腐盖浇饭吧	1
5ec6c15d-e310-47da-a98f-f1af7664d221	天猫精灵声音调小一些声音调小一些	0
3851b8a8-cb18-4bc5-af65-6389452280d7	要个老式八宝粥	1
92358afc-52d8-4650-aa1b-483530cc9e38	天猫精灵你给可尼来个大象的叫声	0
ef8a0888-77ab-4f27-9698-3bb1ef59a3b8	啊这个是天猫精灵那个是小谷宝贝小谷他名字叫小谷	0
d9b70c2c-ae06-4ff0-82e8-677a6cc5fc83	我想听杨一然的遗悍接在风中	0
85291500-c7a8-49af-b065-10cf9d6d5952	天猫精灵要碗燕麦小米养生粥吧	1
94f532e5-6b3d-41fc-b7e8-4b25f66dcf98	天猫精灵来一首麦克斯奥特曼的五个搞笑动作	0
37878ceb-f56f-45e3-a9ba-be3133f0a3db	天猫精灵来份老鸭粉丝汤套餐吧	1
5709db12-550a-4ea8-8ba4-969e335735da	天猫精灵十加二十加三十九加五十等于几	0
ee6022f9-6fb0-48aa-8cfe-a212fc4298a8	天猫精灵天猫精灵的声音怎么叫	0
19351f4a-5c2d-4416-aa7c-d8516bbe8ba9	天猫精灵来碗绿豆清凉粥	1
38b2f421-574f-4a06-b920-babf4ce20253	天猫精灵我现在能叫你可可吗	0
eb9c34c7-22db-41b2-9a88-f71b47c36100	天猫精灵我想听个江西今天的新闻	0
5f06b576-b4e3-4bf5-84e4-3f296d18d00c	天猫精灵五十七加九等于多少	0
b98e1ef8-ff3e-4470-83f6-6d042411a4cc	天猫精灵来碗热乎的紫菜蛋汤	1
74256000-a54e-4047-ac35-33c2c1b9606d	天猫精灵负六减负三等于多少	0
aa338684-9099-4712-9371-a60ae39c9434	来碗热乎的皮蛋瘦粥吧	1
34d58150-52e0-40f8-822e-9a6cbeac5eaf	播放是好朋友的电台	0
6a6d6d83-843e-49c5-a118-34d3deccd56f	天猫精灵来碗热乎的番茄蛋花汤吧	1
21a35ea9-8197-4f9c-9216-a69c4fb65d0c	天猫精灵播放毛不易的一程山路	0
e74b0666-698b-4b49-b63e-41cd895fc706	这个天猫精灵的音响价格你们定好吧	0
d457a96c-0d9e-4a4c-93c0-85c1b948ffd9	天猫精灵来份黄瓜木耳炒鸡蛋吧	1
c3e2cff2-4ea1-4e1e-bc71-a20c089dbff6	天猫精灵来碗鲜蛤蜊疙瘩汤吧	1
0fc28b32-a31e-4479-819b-de413c417b9e	天猫精灵二十六乘三十七等于	0
a01ad028-ae18-4f6b-b210-e9fc21d0e2d1	我要唱严凌的幻海同游	0
ed65ded1-d325-4c62-a073-1ac452e3073d	天猫精灵十三除以一百六十九等于多少	0
44f25d39-941f-4c4d-a9f2-7aab933934ca	来份番茄鸡蛋盖饭吧	1
6c2beb9d-d51e-48e6-9255-ec30631652a0	天猫精灵张忠义是不是大坏蛋	0
eead5125-7302-4d3f-a7c8-8638163a6bd8	天猫精灵圆周率精确到第七位的数学家是谁	0
4507f677-ef51-4e7f-8c3e-1071635cd6a9	天猫精灵海拉阿姆尼的万水千山	0
03b34eea-1edb-419f-8ba5-d77121dcf025	天猫精灵大点声大点声大点声大点声	0
1ac40890-e0e1-4a16-8e2a-dbbbc0ca957e	天猫精灵请给我放一首一个傻子	0
254b2679-4db9-4eb6-bdf3-6f6e1f8c61ab	天猫精灵来份酸辣圆白菜炒粉丝吧	1
2fec06e2-0b4c-49c8-999c-9be5bc25ec41	来碗香菇牛肉热粥暖暖胃	1
0c418bf0-586e-4dc4-836f-43647dd396e7	天猫精灵来碗香菇面筋盖浇饭吧	1
2548195b-1945-4eda-9af6-420991d8b9c4	搜索有关腓侧肌的训练教学	0
9a3b4a45-10dd-41a4-9a7d-7af938b7782d	天猫精灵关闭我们人然要出去了	0
bba01c35-7886-41aa-b2ac-016c9f8fc406	天猫精灵零点二九加三点七五	0
c6c78600-7e83-415d-8664-f4e3c0b587e1	天猫精灵来份番茄鸡蛋浇头饭吧	1
fbf0d128-d497-4323-9e8d-3b0797e3402c	天猫精灵放一个大香蕉一个大香蕉吧	0
a945e1ad-55c6-4295-a869-e222aef03b89	天猫精灵给我来一首亚麻子歌曲	0
c1cf03bc-9afc-42f7-9e9e-d1fdf4bbc605	天猫精灵播放周深的歌	0
1bab004d-db9d-46db-8cbf-c034d64b1517	天猫精灵播放蓝的咖啡的歌曲列表	0
266bd4c8-a645-4a10-9e3a-59204d24316d	哎天猫精灵两百四十除以五等于多少	0
eb3a922f-87e0-4141-ab98-1563526df1b6	我要唱刘秉的我喜欢你与你无关	0
717e11c3-cf7d-4c0e-a4a9-2ae1cdfe78c2	要份菠菜皮蛋瘦肉粥吧	1
1ecfbbb8-34c6-423e-b76b-5ff4719204f8	天猫精灵来点软和的	1
c2041aa7-1bab-49ee-b5a0-2dd12af03a20	那你要不要你要要就留下你要不要就退掉	0
2458312e-c426-4800-b655-01af4c7dd271	天猫精灵播放周深的小黑满	0
5a05a602-59ea-45f2-93d7-0a9e60c3eb1d	天猫精灵你播的这些唐诗三百首怎么都是不是我想听的	0
3032d637-41d1-4d93-937f-b31ec176fdda	天猫精灵要碗冰糖雪梨粥养养胃	1
6bafe88d-48c3-42f7-b64c-c08f20e45a9a	天猫精灵要碗热乎的皮蛋瘦肉粥	1
83903212-685f-4caf-8dae-557bcec1619a	天猫精灵给我调到一分钟三十五秒	0
f2e9e4a7-8181-4131-aeeb-7bb166adc2d6	天猫精灵我们不能在这个世界我们是死人	0
dc8acbd2-517a-44e8-8362-c859bdde0686	的声音天猫精灵播放老蛇叫的声音	0
540eb7a2-02ab-4164-b1d3-b4361100e251	天猫精灵来份麻酱拌油麦菜	1
2f2a8e18-3d84-4e8c-b1a2-27e31b50127e	天猫精灵你放一个小孩看电视的声音	0
e04b0fbc-6749-48e7-b12c-9bcefd4c2b66	来份鲜鱼豆腐汤吧	1
7e36324b-ddf1-4c09-b7d2-dcf5adbee7ad	我想听惟家春满水中舟	0
bfcbebdb-959c-4590-9593-d369ca49cc49	天猫精灵十四点八除以十八点八得多少	0
c544748c-3535-41b0-a25c-489721beae06	天猫精灵怎么找到你的设备名称	0
2b7bfb2e-35b3-426a-95da-c8663ab23abe	来碗青菜皮蛋热粥汤汤的	1
ed1fd9a6-9ea7-44ce-9866-40b38e4459d1	天猫精灵要少油少盐的	1
0c3af62f-52c7-40c9-ad4b-db60db3e2266	天猫精灵要份清淡的白灼小油菜吧	1
0a41b1e7-07b4-4976-9f99-12426b22d221	天猫精灵来碗热乎的养生杂粮粥吧	1
