item_name	category_name	cate_1_name	cate_2_name	cate_3_name
一个小米粥两个吊炉饼一个小菜	其他菜品	其他	其他菜品	
一人份小番茄汤	汤羹	菜品	汤羹	
一人份番茄鸡蛋汤	汤羹	菜品	汤羹	
一份大头菜	蔬菜类	火锅/串串/麻辣烫/色拉自选	配菜	蔬菜类
一份饺子一份粥	其他菜品	其他	其他菜品	
一品中宁清炖土鸡一只	热菜	菜品	热菜	
一品南瓜粥	粥	主食	粥	
一品大炖菜	热菜	菜品	热菜	
一品娃娃菜	热菜	菜品	热菜	
一品海鲜粥	粥	主食	粥	
一品清炖土鸡	热菜	菜品	热菜	
一品清炖土鸡单人套餐	其他菜品	其他	其他菜品	
一品疙瘩汤	汤羹	菜品	汤羹	
一品艇仔粥	粥	主食	粥	
一品蔬菜粥	粥	主食	粥	
一品鲜炒土豆丝	热菜	菜品	热菜	
一品鲜虾砂锅粥	粥	主食	粥	
一品鲜虾粥	粥	主食	粥	
一大荤一小荤两素菜一饭	其他菜品	其他	其他菜品	
一家亲手擀面	手擀面	主食	面	手擀面
一整颗雪梨汤	其他甜品	甜点	其他甜品	
一杯小米粥	粥	主食	粥	
一桶番茄鸡蛋汤	汤羹	菜品	汤羹	
一盘烤花菜	蔬菜类	烧烤	蔬菜类	
一碗地瓜粥	粥	主食	粥	
一碗好米饭	白米饭	主食	饭	白米饭
一碗安静的白米饭	白米饭	主食	饭	白米饭
一碗常被爸妈叮嘱的白米饭	白米饭	主食	饭	白米饭
一碗白米饭	白米饭	主食	饭	白米饭
一碗神仙皮蛋瘦肉粥	粥	主食	粥	
一碗蔬菜粥	粥	主食	粥	
一碗西红柿鸡蛋汤	汤羹	菜品	汤羹	
一碗香喷喷的白米饭	白米饭	主食	饭	白米饭
一级小米粥	粥	主食	粥	
一肉三素拼单菜不含米饭	其他饭	主食	饭	其他饭
一肉三素盒饭	其他饭	主食	饭	其他饭
一荤三素一饭	其他菜品	其他	其他菜品	
一荤三素含米饭	其他菜品	其他	其他菜品	
一荤两素加米饭	其他菜品	其他	其他菜品	
七彩什锦汤	汤羹	菜品	汤羹	
七彩干贝汤	汤羹	菜品	汤羹	
七彩芋圆杂粮粥	粥	主食	粥	
七色营养粥	粥	主食	粥	
三丁茄子饭	盖浇饭	主食	饭	盖浇饭
