uuid	text	dom
8c608d03-bd31-4cc3-a4d8-bce3566c3f13	天猫精灵来碗养胃的小米粥	1
dbf0e344-adb5-4f3a-8403-7eb55377d551	天猫精灵要碗暖暖的椰香燕麦粥	1
3bdabc54-87c7-4098-8c37-39d3e256a826	天猫精灵要份番茄面疙瘩汤吧	1
47c949ac-3b9c-404b-86e4-1c4f952ba9df	天猫精灵来份蒜苗鸡蛋小炒吧	1
52a8c1ab-58f1-4860-837f-555127e4e64f	来碗甜丝丝南瓜粥吧	1
c0d916e9-ac15-475f-b0fa-ae889029e99a	来份小白菜炖豆腐热乎的	1
727d1fc1-de69-49ff-b807-165dd44d5fc8	来份热乎娃娃菜炖豆腐	1
eeb139f5-dbae-4438-946a-c9c7c58d9c2b	天猫精灵来碗热乎的百合莲子粥吧	1
38657d69-1e87-4703-8954-db9ec8bb7e7b	天猫精灵来碗西红柿鸡蛋浇饭吧	1
28a2ceea-f735-471b-9799-fa0a0144c6c3	来碗暖胃南瓜粥吧	1
b3331a23-1ef5-4d8d-95df-b1fe8cea7aea	阿拉要一份黄焖鸡搭嫩豆角盖浇饭饭烧得软糯点哦年纪大唻牙齿勿来赛了	1
d6e44093-6ab2-4a2b-968e-df52c6ed9c68	来份蒜香粉丝娃娃菜吧	1
6bc59104-943a-41cd-a048-91d6cc0979b2	天猫精灵来碗热乎的皮蛋瘦肉粥吧	1
5b56de1a-237e-4032-a1c6-504a9c8c2587	来碗山药玉米养生粥吧	1
d07efd21-1288-4f39-91a5-3ed918f6b40c	天猫精灵想吃顺口的	1
e598fa1a-3115-4b7e-9056-6a8b1025afed	天猫精灵来份暖心皮蛋瘦肉粥吧	1
a1dae624-cc4c-4872-aa3d-c3572cf9d751	天猫精灵来份咸白菜炒蛋吧	1
2ebebf9e-5d5d-4843-8957-999b2d1dbb0c	天猫精灵要碗皮蛋菜粥吧	1
166fa858-a664-4342-938a-3baf9af820f1	天猫精灵要个菌菇丸子汤锅吧	1
b14f3e04-ef50-48fb-ab65-9037b68692c3	天猫精灵要容易嚼的	1
c396e324-ce24-4a33-ba55-dc94d6fd8328	天猫精灵来份土豆丝炒肉吧	1
7cfb88b6-9133-4d7e-9071-2a7d287a571a	天猫精灵来碗热乎的皮蛋瘦肉粥吧	1
841c9a84-b60b-4c06-a57c-9c7a3077f0db	天猫精灵来碗番茄蛋花面疙瘩汤	1
f81a819d-d629-45ef-ad53-34409bb8b6ac	天猫精灵来碗南瓜小米养生粥吧	1
12b2cb6b-8c5d-4a49-b69e-7b2da62039fa	天猫精灵来碗热乎的皮蛋瘦肉粥吧	1
9d2a40e6-bd76-4d01-a10d-66978c46c87a	阿拉要一份虾仁清汤面伐面要煮得软点汤头鲜点虾仁蛋也落劲额今朝想吃口清爽个物事	1
2a37fdef-589f-4c51-be31-9e10990bf3a0	天猫精灵来份丝瓜炒蛋吧	1
6063b0dc-0cc9-4b4e-9b96-abf03de7c507	哎今朝想切眼肉末茄子搭一客香米饭伐晓得有伐	1
98bdd697-ab05-491f-8be4-72afa53b2cd0	天猫精灵来份西兰花炒木耳吧	1
322f1b98-0b16-4cfa-8c33-2ac72fa0f51f	天猫精灵来份鲜拌麻蛤菠菜吧	1
7491096c-818f-483a-9488-a84173f183ab	天猫精灵来一份油菜盖浇饭吧	1
12b6c3d2-9f9a-43f5-a65b-a243d03a1bf8	天猫精灵来份西红柿鸡蛋浇头饭	1
7e86fb0e-02c5-4582-b8d2-51df48c6d872	天猫精灵要碗热乎的皮蛋瘦肉粥	1
b9a910d0-23da-460b-9b33-30fa8ea0d6d1	天猫精灵来碗热乎的紫菜蛋花汤吧	1
ba2b75e9-9fc5-4f9e-8047-ec5f48396253	侬好呀来一份蒜香喷喷个鸡毛菜伐闻上去老灵光额样子今朝就想吃吃种清清爽爽个小菜	1
94350ffc-3c65-4eb0-a2e9-0cc2a2a224d3	天猫精灵来碗虫草菌菇汤吧	1
d5930876-55da-4a87-824b-eaab09c29efa	天猫精灵鲜汤煮的嫩娃娃菜来一份吧	1
1340bb22-5103-4ef8-8bbc-8111ff0cbf22	天猫精灵要个鲜鱼嫩豆腐汤吧	1
e0671ee4-cbb3-44d4-9ecc-0b6a28d38371	天猫精灵来碗鲜嫩娃娃菜汤吧	1
a33ce76e-46c5-425c-aa99-21e16d32bfe1	要份青椒土豆片盖饭吧	1
70b9e8a1-16df-4dd8-82a3-10f2486a7e6d	天猫精灵来碗热乎养胃的小米粥吧	1
